"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1589","Add product by name and verify cart count","chromium","2026-09-20","passed","2026-09-20","Products page Tests","saucedemo/products.spec.ts","",""
"","362","should show error with locked out credentials","chromium","2026-09-20","passed","2026-09-20","Login Tests","saucedemo/login.spec.ts","",""
"","1587","verify order completion flow with data set 3-sekharts 560045","chromium","2026-09-20","failed","2026-09-20","checkout page tests","saucedemo/checkout-csv-datadriven.spec.ts","",""
"","1465","Remove product by name and verify cart count","chromium","2026-09-20","passed","2026-09-20","Products page Tests","saucedemo/products.spec.ts","",""
"","1603","click on checkout button and verify navigation to checkout page","chromium","2026-09-20","failed","2026-09-20","Cart page tests","saucedemo/cartpage.spec.ts","",""
"","352","should show error with invalid credentials","chromium","2026-09-20","passed","2026-09-20","Login Tests","saucedemo/login.spec.ts","",""
"","1582","verify order completion flow with data set 2-rameshch 560049","chromium","2026-09-20","failed","2026-09-20","checkout page tests","saucedemo/checkout-csv-datadriven.spec.ts","",""
"","1531","Navigate to cart page","chromium","2026-09-20","failed","2026-09-20","Products page Tests","saucedemo/products.spec.ts","",""
"","1599","Verify cancel button in checkout overview page","chromium","2026-09-20","failed","2026-09-20","checkout page tests","saucedemo/checkout.spec.ts","",""
"","1616","verify order completion flow with data set 1-JohnDoe 60543","chromium","2026-09-20","failed","2026-09-20","checkout page tests","saucedemo/checkout-csv-datadriven.spec.ts","",""
"","1589","click on continue shopping button and verify navigation to product page","chromium","2026-09-20","failed","2026-09-20","Cart page tests","saucedemo/cartpage.spec.ts","",""
"","1602","sort products by price low to high and verify sorting","chromium","2026-09-20","passed","2026-09-20","Products page Tests","saucedemo/products.spec.ts","",""
"","1544","should login with valid credentials","chromium","2026-09-20","passed","2026-09-20","Login Tests","saucedemo/login.spec.ts","",""
"","1692","remove product from cart and verify cart count","chromium","2026-09-20","failed","2026-09-20","Cart page tests","saucedemo/cartpage.spec.ts","",""
"","2571","Add all products to cart and verify cart count","chromium","2026-09-20","failed","2026-09-20","Products page Tests","saucedemo/products.spec.ts","",""
"","1593","verify order completion flow with data set 1-JohnDoe 12345","chromium","2026-09-20","failed","2026-09-20","checkout page tests","saucedemo/checkout-datadriven.spec.ts","",""
"","1955","verify order completion flow","chromium","2026-09-20","failed","2026-09-20","checkout page tests","saucedemo/checkout.spec.ts","",""
"","1583","verify order completion flow with data set 2-JaneSmith 54321","chromium","2026-09-20","failed","2026-09-20","checkout page tests","saucedemo/checkout-datadriven.spec.ts","",""
"","1514","should display products and verfy product list","chromium","2026-09-20","passed","2026-09-20","Products page Tests","saucedemo/products.spec.ts","",""
"","1586","verify cancel button functionality on checkout page","chromium","2026-09-20","failed","2026-09-20","checkout page tests","saucedemo/checkout.spec.ts","",""
"","1569","Add products to cart and verify cart count","chromium","2026-09-20","failed","2026-09-20","Products page Tests","saucedemo/products.spec.ts","",""
"","1600","verify order completion flow with data set 3-AliceJohnson 67890","chromium","2026-09-20","failed","2026-09-20","checkout page tests","saucedemo/checkout-datadriven.spec.ts","",""
